Source,Target,Type,Weight
UgwAa9jKcAjAU48gAbR4AaABAg,OMTszkzVSx4,Directed,1
UgxHejNhkX8rl-tdkMx4AaABAg,OMTszkzVSx4,Directed,1
Ugxgs730IWWdnGgBHhh4AaABAg,OMTszkzVSx4,Directed,1
UgxpLU060roTgUAa6914AaABAg,OMTszkzVSx4,Directed,1
Ugwo92yYFgfRvad8SJZ4AaABAg,OMTszkzVSx4,Directed,1
Ugw673YgH3iwwMXGf7t4AaABAg,OMTszkzVSx4,Directed,1
Ugzm4DSPvUStuthAetV4AaABAg,OMTszkzVSx4,Directed,1
Ugy7JZhItx6YHSiaXW14AaABAg,OMTszkzVSx4,Directed,1
Ugz20NB1Y1zPcWu0MCR4AaABAg,OMTszkzVSx4,Directed,1
UgzXwcSq9xz5_FfvVIZ4AaABAg,OMTszkzVSx4,Directed,1
UgwWcT8IHT7HudkMygh4AaABAg,OMTszkzVSx4,Directed,1
UgyUElvYHSdFea7ujSR4AaABAg,OMTszkzVSx4,Directed,1
Ugy7HA7VlbLW6_YkLX54AaABAg,OMTszkzVSx4,Directed,1
UgxEf6jQnk4tLACjFvt4AaABAg,OMTszkzVSx4,Directed,1
Ugz1pR0rP6jKfTmRVFp4AaABAg,OMTszkzVSx4,Directed,1
UgyHgMT26mYryEspZHR4AaABAg,OMTszkzVSx4,Directed,1
UgxtccrBlcW0ChDsKhN4AaABAg,OMTszkzVSx4,Directed,1
UgzBZ-92Ib0mC7p-NRh4AaABAg,OMTszkzVSx4,Directed,1
UgwzOmfAX0WsRGT2d-h4AaABAg,OMTszkzVSx4,Directed,1
UgwMcTHXAe-iiM83omN4AaABAg,OMTszkzVSx4,Directed,1
UgxpUeuoFfRRHzgPnDB4AaABAg,OMTszkzVSx4,Directed,1
Ugw8qv-SNphC8FgRiXV4AaABAg,OMTszkzVSx4,Directed,1
UgwXuMrE6P6Omg4zR_t4AaABAg,OMTszkzVSx4,Directed,1
Ugw8OfQfRinn9cRki0l4AaABAg,OMTszkzVSx4,Directed,1
UgzwXz227GvLvKYbPxF4AaABAg,OMTszkzVSx4,Directed,1
UgxSUOalBvuEx15gKTd4AaABAg,OMTszkzVSx4,Directed,1
