Source,Target,Type,Weight
CMT_0001,OMTszkzVSx4,Directed,1
CMT_0002,OMTszkzVSx4,Directed,1
CMT_0003,OMTszkzVSx4,Directed,1
CMT_0004,OMTszkzVSx4,Directed,1
CMT_0005,OMTszkzVSx4,Directed,1
CMT_0006,OMTszkzVSx4,Directed,1
CMT_0007,OMTszkzVSx4,Directed,1
CMT_0008,OMTszkzVSx4,Directed,1
CMT_0009,OMTszkzVSx4,Directed,1
CMT_0010,OMTszkzVSx4,Directed,1
CMT_0011,OMTszkzVSx4,Directed,1
CMT_0012,OMTszkzVSx4,Directed,1
CMT_0013,OMTszkzVSx4,Directed,1
CMT_0014,OMTszkzVSx4,Directed,1
CMT_0015,OMTszkzVSx4,Directed,1
CMT_0016,OMTszkzVSx4,Directed,1
CMT_0017,OMTszkzVSx4,Directed,1
CMT_0018,OMTszkzVSx4,Directed,1
CMT_0019,OMTszkzVSx4,Directed,1
CMT_0020,OMTszkzVSx4,Directed,1
CMT_0021,OMTszkzVSx4,Directed,1
CMT_0022,OMTszkzVSx4,Directed,1
CMT_0023,OMTszkzVSx4,Directed,1
CMT_0024,OMTszkzVSx4,Directed,1
CMT_0025,OMTszkzVSx4,Directed,1
CMT_0026,OMTszkzVSx4,Directed,1
CMT_0027,OMTszkzVSx4,Directed,1
CMT_0028,OMTszkzVSx4,Directed,1
CMT_0029,OMTszkzVSx4,Directed,1
CMT_0030,OMTszkzVSx4,Directed,1
CMT_0031,OMTszkzVSx4,Directed,1
CMT_0032,OMTszkzVSx4,Directed,1
CMT_0033,OMTszkzVSx4,Directed,1
CMT_0034,OMTszkzVSx4,Directed,1
CMT_0035,OMTszkzVSx4,Directed,1
CMT_0036,OMTszkzVSx4,Directed,1
CMT_0037,OMTszkzVSx4,Directed,1
CMT_0038,OMTszkzVSx4,Directed,1
CMT_0039,OMTszkzVSx4,Directed,1
CMT_0040,OMTszkzVSx4,Directed,1
CMT_0041,OMTszkzVSx4,Directed,1
CMT_0042,OMTszkzVSx4,Directed,1
CMT_0043,OMTszkzVSx4,Directed,1
CMT_0044,OMTszkzVSx4,Directed,1
CMT_0045,OMTszkzVSx4,Directed,1
CMT_0046,OMTszkzVSx4,Directed,1
CMT_0047,OMTszkzVSx4,Directed,1
CMT_0048,OMTszkzVSx4,Directed,1
CMT_0049,OMTszkzVSx4,Directed,1
CMT_0050,OMTszkzVSx4,Directed,1
CMT_0051,OMTszkzVSx4,Directed,1
CMT_0052,OMTszkzVSx4,Directed,1
CMT_0053,OMTszkzVSx4,Directed,1
CMT_0054,OMTszkzVSx4,Directed,1
CMT_0055,OMTszkzVSx4,Directed,1
CMT_0056,OMTszkzVSx4,Directed,1
CMT_0057,OMTszkzVSx4,Directed,1
CMT_0058,OMTszkzVSx4,Directed,1
CMT_0059,OMTszkzVSx4,Directed,1
CMT_0060,OMTszkzVSx4,Directed,1
CMT_0061,OMTszkzVSx4,Directed,1
CMT_0062,OMTszkzVSx4,Directed,1
CMT_0063,hFw-GYAlJHc,Directed,1
CMT_0064,hFw-GYAlJHc,Directed,1
CMT_0065,hFw-GYAlJHc,Directed,1
CMT_0066,hFw-GYAlJHc,Directed,1
CMT_0067,hFw-GYAlJHc,Directed,1
CMT_0068,hFw-GYAlJHc,Directed,1
CMT_0069,hFw-GYAlJHc,Directed,1
CMT_0070,hFw-GYAlJHc,Directed,1
CMT_0071,hFw-GYAlJHc,Directed,1
CMT_0072,hFw-GYAlJHc,Directed,1
CMT_0073,hFw-GYAlJHc,Directed,1
CMT_0074,hFw-GYAlJHc,Directed,1
CMT_0075,hFw-GYAlJHc,Directed,1
CMT_0076,hFw-GYAlJHc,Directed,1
CMT_0077,hFw-GYAlJHc,Directed,1
CMT_0078,hFw-GYAlJHc,Directed,1
CMT_0079,hFw-GYAlJHc,Directed,1
CMT_0080,l9XuvDXJlZI,Directed,1
CMT_0081,l9XuvDXJlZI,Directed,1
CMT_0082,l9XuvDXJlZI,Directed,1
CMT_0083,l9XuvDXJlZI,Directed,1
CMT_0084,l9XuvDXJlZI,Directed,1
CMT_0085,l9XuvDXJlZI,Directed,1
CMT_0086,l9XuvDXJlZI,Directed,1
CMT_0087,l9XuvDXJlZI,Directed,1
CMT_0088,l9XuvDXJlZI,Directed,1
CMT_0089,l9XuvDXJlZI,Directed,1
CMT_0090,l9XuvDXJlZI,Directed,1
CMT_0091,l9XuvDXJlZI,Directed,1
CMT_0092,l9XuvDXJlZI,Directed,1
CMT_0093,l9XuvDXJlZI,Directed,1
CMT_0094,l9XuvDXJlZI,Directed,1
