Id,Claim_Verification,Engagement_Score,Label,Type
CMT_0001,-2,2,CMT_0001,Comment
CMT_0002,-1,0,CMT_0002,Comment
CMT_0003,1,1,CMT_0003,Comment
CMT_0004,0,0,CMT_0004,Comment
CMT_0005,-2,21,CMT_0005,Comment
CMT_0006,1,1,CMT_0006,Comment
CMT_0007,-2,0,CMT_0007,Comment
CMT_0008,1,43,CMT_0008,Comment
CMT_0009,1,1,CMT_0009,Comment
CMT_0010,-2,6,CMT_0010,Comment
CMT_0011,-1,1,CMT_0011,Comment
CMT_0012,-1,2,CMT_0012,Comment
CMT_0013,0,2,CMT_0013,Comment
CMT_0014,1,0,CMT_0014,Comment
CMT_0015,-2,0,CMT_0015,Comment
CMT_0016,1,2,CMT_0016,Comment
CMT_0017,-1,0,CMT_0017,Comment
CMT_0018,-3,3,CMT_0018,Comment
CMT_0019,1,0,CMT_0019,Comment
CMT_0020,-2,0,CMT_0020,Comment
CMT_0021,-2,5,CMT_0021,Comment
CMT_0022,-2,0,CMT_0022,Comment
CMT_0023,-2,0,CMT_0023,Comment
CMT_0024,-2,0,CMT_0024,Comment
CMT_0025,-2,4,CMT_0025,Comment
CMT_0026,1,6,CMT_0026,Comment
CMT_0027,-2,0,CMT_0027,Comment
CMT_0028,-1,1,CMT_0028,Comment
CMT_0029,1,2,CMT_0029,Comment
CMT_0030,-2,0,CMT_0030,Comment
CMT_0031,-2,0,CMT_0031,Comment
CMT_0032,1,1,CMT_0032,Comment
CMT_0033,-2,18,CMT_0033,Comment
CMT_0034,-2,0,CMT_0034,Comment
CMT_0035,-2,8,CMT_0035,Comment
CMT_0036,-2,0,CMT_0036,Comment
CMT_0037,-2,0,CMT_0037,Comment
CMT_0038,-2,0,CMT_0038,Comment
CMT_0039,1,3,CMT_0039,Comment
CMT_0040,-2,1,CMT_0040,Comment
CMT_0041,1,283,CMT_0041,Comment
CMT_0042,-2,1,CMT_0042,Comment
CMT_0043,-1,0,CMT_0043,Comment
CMT_0044,-1,6,CMT_0044,Comment
CMT_0045,-2,11,CMT_0045,Comment
CMT_0046,-2,1,CMT_0046,Comment
CMT_0047,1,0,CMT_0047,Comment
CMT_0048,-2,4,CMT_0048,Comment
CMT_0049,1,4,CMT_0049,Comment
CMT_0050,-2,3,CMT_0050,Comment
CMT_0051,1,5,CMT_0051,Comment
CMT_0052,-2,0,CMT_0052,Comment
CMT_0053,-2,4,CMT_0053,Comment
CMT_0054,-2,4,CMT_0054,Comment
CMT_0055,1,1,CMT_0055,Comment
CMT_0056,-2,22,CMT_0056,Comment
CMT_0057,1,16,CMT_0057,Comment
CMT_0058,1,4,CMT_0058,Comment
CMT_0059,1,2,CMT_0059,Comment
CMT_0060,-2,27,CMT_0060,Comment
CMT_0061,-2,64,CMT_0061,Comment
CMT_0062,-2,29,CMT_0062,Comment
CMT_0063,-1,0,CMT_0063,Comment
CMT_0064,1,0,CMT_0064,Comment
CMT_0065,-2,1,CMT_0065,Comment
CMT_0066,1,1,CMT_0066,Comment
CMT_0067,-2,1,CMT_0067,Comment
CMT_0068,1,0,CMT_0068,Comment
CMT_0069,0,0,CMT_0069,Comment
CMT_0070,-3,0,CMT_0070,Comment
CMT_0071,-2,4,CMT_0071,Comment
CMT_0072,-3,1,CMT_0072,Comment
CMT_0073,0,0,CMT_0073,Comment
CMT_0074,-2,0,CMT_0074,Comment
CMT_0075,1,1,CMT_0075,Comment
CMT_0076,-2,1,CMT_0076,Comment
CMT_0077,1,3,CMT_0077,Comment
CMT_0078,-1,2,CMT_0078,Comment
CMT_0079,1,1,CMT_0079,Comment
CMT_0080,-2,0,CMT_0080,Comment
CMT_0081,-2,2,CMT_0081,Comment
CMT_0082,-2,1,CMT_0082,Comment
CMT_0083,-2,0,CMT_0083,Comment
CMT_0084,1,3,CMT_0084,Comment
CMT_0085,0,0,CMT_0085,Comment
CMT_0086,-2,0,CMT_0086,Comment
CMT_0087,1,0,CMT_0087,Comment
CMT_0088,-2,0,CMT_0088,Comment
CMT_0089,1,0,CMT_0089,Comment
CMT_0090,1,0,CMT_0090,Comment
CMT_0091,-2,7,CMT_0091,Comment
CMT_0092,1,1,CMT_0092,Comment
